Slice,Count,Total Area,Average Size,%Area,Mean
201708_C02_S5_I3,219,36.684,0.168,18.709,255
201708_C03_S1_I1,12,1.220,0.102,0.622,255
201708_C03_S1_I1,191,48.251,0.253,24.609,255
201708_C03_S1_I2,41,1.603,0.039,0.818,255
201708_C03_S1_I2,180,33.065,0.184,16.863,255
201708_C03_S1_I3,11,1.402,0.127,0.715,255
201708_C03_S1_I3,189,31.897,0.169,16.268,255
201708_C03_S2_I1,23,1.661,0.072,0.847,255
201708_C03_S2_I1,79,31.115,0.394,15.869,255
201708_C03_S2_I2,34,1.851,0.054,0.944,255
201708_C03_S2_I2,98,34.058,0.348,17.370,255
201708_C03_S2_I3,21,1.629,0.078,0.831,255
201708_C03_S2_I3,54,18.286,0.339,9.326,255
201708_C03_S3_I1,25,1.240,0.050,0.633,255
201708_C03_S3_I1,185,39.119,0.211,19.951,255
201708_C03_S3_I2,21,1.045,0.050,0.533,255
201708_C03_S3_I2,189,36.274,0.192,18.500,255
201708_C03_S3_I3,23,1.456,0.063,0.743,255
201708_C03_S3_I3,161,26.891,0.167,13.714,255
201708_C03_S4_I1,43,1.581,0.037,0.806,255
201708_C03_S4_I1,261,45.035,0.173,22.968,255
201708_C03_S4_I2,43,1.162,0.027,0.593,255
201708_C03_S4_I2,226,34.035,0.151,17.358,255
201708_C03_S4_I3,48,1.806,0.038,0.921,255
201708_C03_S4_I3,327,45.806,0.140,23.361,255
201708_C03_S5_I1,43,1.709,0.040,0.872,255
201708_C03_S5_I1,142,21.521,0.152,10.976,255
201708_C03_S5_I2,55,1.546,0.028,0.789,255
201708_C03_S5_I2,185,22.663,0.123,11.558,255
201708_C03_S5_I3,36,1.304,0.036,0.665,255
201708_C03_S5_I3,156,21.307,0.137,10.867,255
201708_C04_S1_I1,9,0.677,0.075,0.345,255
201708_C04_S1_I1,67,42.531,0.635,21.691,255
201708_C04_S1_I2,17,0.926,0.054,0.472,255
201708_C04_S1_I2,97,31.307,0.323,15.967,255
201708_C04_S1_I3,9,1.055,0.117,0.538,255
201708_C04_S1_I3,119,26.842,0.226,13.690,255
201708_C04_S2_I1,12,0.783,0.065,0.400,255
201708_C04_S2_I1,83,20.050,0.242,10.226,255
201708_C04_S2_I2,15,1.555,0.104,0.793,255
201708_C04_S2_I2,99,27.991,0.283,14.275,255
201708_C04_S2_I3,18,1.028,0.057,0.524,255
201708_C04_S2_I3,149,22.490,0.151,11.470,255
201708_C04_S3_I1,10,1.217,0.122,0.621,255
201708_C04_S3_I1,57,17.540,0.308,8.946,255
201708_C04_S3_I2,18,1.142,0.063,0.583,255
201708_C04_S3_I2,109,45.887,0.421,23.402,255
201708_C04_S3_I3,29,1.435,0.049,0.732,255
201708_C04_S3_I3,77,21.619,0.281,11.026,255
201708_C04_S4_I1,36,1.259,0.035,0.642,255
201708_C04_S4_I1,273,29.788,0.109,15.192,255
201708_C04_S4_I2,38,1.197,0.031,0.610,255
201708_C04_S4_I2,213,26.709,0.125,13.622,255
201708_C04_S4_I3,43,1.324,0.031,0.675,255
201708_C04_S4_I3,251,32.103,0.128,16.373,255
201708_C04_S5_I1,40,1.291,0.032,0.658,255
201708_C04_S5_I1,271,47.032,0.174,23.987,255
201708_C04_S5_I2,37,1.729,0.047,0.882,255
201708_C04_S5_I2,348,51.194,0.147,26.109,255
201708_C04_S5_I3,34,1.155,0.034,0.589,255
201708_C04_S5_I3,292,42.690,0.146,21.772,255
201708_C05_S1_I1,33,1.802,0.055,0.919,255
