 ,Area,Mean,Min,Max
665,0.053,255,255,255
666,0.154,255,255,255
667,0.166,255,255,255
668,0.241,255,255,255
669,0.071,255,255,255
670,0.064,255,255,255
671,0.052,255,255,255
672,0.089,255,255,255
673,0.236,255,255,255
674,0.108,255,255,255
675,0.081,255,255,255
676,0.135,255,255,255
677,0.139,255,255,255
678,0.250,255,255,255
679,0.091,255,255,255
680,0.145,255,255,255
681,0.054,255,255,255
682,0.079,255,255,255
683,0.114,255,255,255
684,0.191,255,255,255
685,0.333,255,255,255
686,0.034,255,255,255
687,0.128,255,255,255
688,0.168,255,255,255
689,0.099,255,255,255
690,0.092,255,255,255
691,0.901,255,255,255
692,0.033,255,255,255
693,0.074,255,255,255
694,0.069,255,255,255
695,0.012,255,255,255
696,0.176,255,255,255
697,0.075,255,255,255
698,0.056,255,255,255
699,1.546,255,255,255
700,0.083,255,255,255
701,0.408,255,255,255
702,0.175,255,255,255
703,0.123,255,255,255
704,0.122,255,255,255
705,0.144,255,255,255
706,0.049,255,255,255
707,0.082,255,255,255
708,0.055,255,255,255
709,0.076,255,255,255
710,0.027,255,255,255
711,0.164,255,255,255
712,0.100,255,255,255
713,0.020,255,255,255
714,0.032,255,255,255
715,0.162,255,255,255
716,0.086,255,255,255
717,0.056,255,255,255
718,0.059,255,255,255
719,0.114,255,255,255
720,0.150,255,255,255
721,0.064,255,255,255
722,0.209,255,255,255
723,0.081,255,255,255
724,0.036,255,255,255
725,0.499,255,255,255
726,0.094,255,255,255
727,0.200,255,255,255
728,0.426,255,255,255
729,0.074,255,255,255
730,0.085,255,255,255
731,0.053,255,255,255
732,0.091,255,255,255
733,0.088,255,255,255
734,0.127,255,255,255
735,0.094,255,255,255
736,0.080,255,255,255
737,0.051,255,255,255
738,0.461,255,255,255
739,0.273,255,255,255
740,0.293,255,255,255
741,0.200,255,255,255
742,0.156,255,255,255
743,0.164,255,255,255
744,0.056,255,255,255
745,0.129,255,255,255
746,0.039,255,255,255
747,0.051,255,255,255
748,0.068,255,255,255
