control,C11,S1,201409,21.527,28.556,28.941,11.415,4.368,1.230,1.340,1.138,0.991,0.404,0.055,0.018,0.018
control,C11,S2,201409,0.726,1.797,8.896,21.115,32.026,11.002,9.731,6.191,5.465,2.723,0.290,0.018,0.018
control,C11,S3,201409,0.086,0.806,5.640,12.275,14.555,7.766,11.126,13.132,20.350,13.064,1.166,0.017,0.017
control,C11,S4,201409,0.221,0.650,2.846,7.329,27.166,18.211,20.174,12.729,8.235,2.009,0.407,0.012,0.012
control,C11,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C10,S1,201409,29.675,39.058,23.106,6.490,1.221,0.159,0.159,0.053,0.013,0.013,0.027,0.013,0.013
control,C10,S2,201409,0.997,2.938,8.953,20.790,42.123,9.949,6.172,3.375,3.060,1.364,0.245,0.017,0.017
control,C10,S3,201409,0.106,0.265,1.607,4.645,16.920,13.458,17.202,16.160,17.326,11.056,1.201,0.035,0.018
control,C10,S4,201409,0.167,1.013,4.039,10.425,30.219,16.435,15.519,10.258,7.704,3.082,0.944,0.180,0.014
control,C10,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C9,S1,201409,30.154,23.177,21.669,14.205,7.574,1.571,0.896,0.424,0.220,0.063,0.016,0.016,0.016
control,C9,S2,201409,8.006,3.458,5.576,8.629,26.807,17.617,17.243,6.760,3.022,1.199,0.109,0.016,1.558
control,C9,S3,201409,0.089,0.390,2.057,6.721,21.475,15.677,15.162,12.715,14.063,10.073,1.525,0.035,0.018
control,C9,S4,201409,0.371,0.635,1.006,2.131,6.248,5.957,10.114,12.973,20.876,18.613,15.965,5.070,0.040
control,C9,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C8,S1,201409,82.855,12.900,2.344,0.508,0.410,0.262,0.229,0.197,0.229,0.016,0.016,0.016,0.016
control,C8,S2,201409,8.489,4.147,4.649,7.857,18.792,11.712,14.110,11.113,9.704,4.568,3.580,1.264,0.016
control,C8,S3,201409,2.392,1.047,2.374,3.946,12.448,9.899,15.520,17.196,21.648,9.794,3.212,0.506,0.017
control,C8,S4,201409,2.198,4.343,5.835,9.138,23.152,15.066,14.773,9.631,7.460,4.702,3.024,0.666,0.013
control,C8,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C7,S1,201409,28.802,47.606,21.771,1.024,0.316,0.136,0.136,0.120,0.030,0.015,0.015,0.015,0.015
control,C7,S2,201409,3.924,5.137,11.273,20.134,22.888,8.975,9.575,7.263,6.650,3.653,0.499,0.014,0.014
control,C7,S3,201409,3.540,4.302,10.032,13.317,25.714,12.524,11.286,7.016,7.000,4.063,0.905,0.286,0.016
control,C7,S4,201409,0.512,0.549,1.183,5.392,28.739,19.688,17.992,10.503,7.563,4.233,2.976,0.659,0.012
control,C7,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C6,S1,201409,31.152,12.732,11.192,15.550,22.409,4.569,1.725,0.434,0.184,0.013,0.013,0.013,0.013
control,C6,S2,201409,3.171,0.360,0.432,2.505,31.333,27.604,22.072,8.108,3.550,0.721,0.108,0.018,0.018
