apr2017_T3,2017-04-27 0:00:00,"T3","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",7.0,14.0,80.0,280.0,300.0,40.0,100.0,280.0,,50.0,,,,,,13:38:00
apr2017_T4,2017-04-27 0:00:00,"T4","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",8.0,15.0,60.0,260.0,300.0,40.0,140.0,160.0,,50.0,,,,,,13:45:00
apr2017_T5,2017-04-27 0:00:00,"T5","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,10.0,80.0,280.0,300.0,70.0,100.0,240.0,,40.0,74.0,59.0,"2-4",30.0,,13:53:00
apr2017_T6,2017-04-27 0:00:00,"T6","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",8.0,9.0,100.0,260.0,300.0,60.0,120.0,300.0,,30.0,,,,,,14:00:00
apr2017_T7,2017-04-27 0:00:00,"T7","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",10.0,11.0,80.0,220.0,300.0,60.0,140.0,260.0,,30.0,,,,,,14:10:00
apr2017_T8,2017-04-27 0:00:00,"T8","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",5.0,11.0,80.0,240.0,300.0,60.0,100.0,240.0,,40.0,,,,,,14:19:00
apr2017_T9,2017-04-27 0:00:00,"T9","Corbett  Galloway  Gibbons  Kelly","15:12:00","9:08:00",7.0,9.0,80.0,280.0,300.0,60.0,240.0,240.0,,40.0,,,,,,14:28:00
aug2015_C1,2015-08-04 0:00:00,"C1","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",4.0,13.0,0.0,70.0,150.0,,,,10.0,15.0,,,,35.0,,
aug2015_C10,2015-08-04 0:00:00,"C10","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",3.0,21.0,10.0,100.0,320.0,,,,,,,,"2",27.0,,
aug2015_C11,2015-08-04 0:00:00,"C11","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,19.0,0.0,200.0,560.0,,,,,,,,"2",35.0,,
aug2015_C2,2015-08-04 0:00:00,"C2","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",10.0,,0.0,0.0,80.0,,,,,15.0,,,,,,
aug2015_C3,2015-08-04 0:00:00,"C3","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",2.0,21.0,0.0,0.0,320.0,,,,,,,,,,,
aug2015_C4,2015-08-04 0:00:00,"C4","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,25.0,0.0,180.0,320.0,,,,,,,,,,,
aug2015_C5,2015-08-04 0:00:00,"C5","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,12.0,10.0,200.0,320.0,,,,,10.0,,,"2",35.0,"eroded dune face",
aug2015_C6,2015-08-04 0:00:00,"C6","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,,0.0,120.0,560.0,,,,,10.0,,,,,,
aug2015_C7,2015-08-04 0:00:00,"C7","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",1.0,22.0,10.0,60.0,560.0,,,,,,,,,,,
aug2015_C8,2015-08-04 0:00:00,"C8","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,22.0,0.0,150.0,240.0,,,,,,,,,,,
aug2015_C9,2015-08-04 0:00:00,"C9","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",6.0,15.0,20.0,120.0,320.0,,,,10.0,,,,,,,
aug2015_T1,2015-08-04 0:00:00,"T1","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",-1.0,20.0,0.0,60.0,120.0,,,,17.0,,,,"2",33.0,,
aug2015_T10,2015-08-04 0:00:00,"T10","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",4.0,12.0,0.0,0.0,40.0,,,,,15.0,,,"2",35.0,,
aug2015_T11,2015-08-04 0:00:00,"T11","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",3.0,30.0,0.0,80.0,260.0,,,,,,,,,,,
aug2015_T12,2015-08-04 0:00:00,"T12","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",4.0,23.0,0.0,50.0,120.0,,,,,,,,,,,
aug2015_T13,2015-08-04 0:00:00,"T13","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",-1.0,19.0,0.0,80.0,100.0,,,,,,,,,,,
aug2015_T14,2015-08-04 0:00:00,"T14","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,15.0,0.0,40.0,180.0,,,,,,,,,,,
aug2015_T15,2015-08-04 0:00:00,"T15","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",-4.0,17.0,0.0,60.0,180.0,,,,,,,,"2",34.0,,
aug2015_T16,2015-08-04 0:00:00,"T16","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,16.0,0.0,40.0,320.0,,,,,,,,,35.0,"reconstructed dune",
aug2015_T2,2015-08-04 0:00:00,"T2","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",2.0,19.0,0.0,80.0,160.0,,,,,,,,,,,
aug2015_T3,2015-08-04 0:00:00,"T3","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",4.0,19.0,0.0,30.0,280.0,,,,,,,,,,,
aug2015_T4,2015-08-04 0:00:00,"T4","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,24.0,0.0,30.0,50.0,,,,,,,,,,,
aug2015_T5,2015-08-04 0:00:00,"T5","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",12.0,18.0,0.0,100.0,490.0,,,,,,,,"2",34.0,,
aug2015_T6,2015-08-04 0:00:00,"T6","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",5.0,18.0,0.0,120.0,360.0,,,,,,,,,,"reconstructed dredge dune",
aug2015_T7,2015-08-04 0:00:00,"T7","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",4.0,21.0,10.0,140.0,560.0,,,,,,,,,,,
aug2015_T8,2015-08-04 0:00:00,"T8","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",3.0,17.0,20.0,240.0,280.0,,,,,,,,,,,
aug2015_T9,2015-08-04 0:00:00,"T9","K. Fair  W. Murray  Z. Carroll","5:56:00","11:39:00",6.0,10.0,0.0,40.0,40.0,,,,,20.0,,,,,,
aug2016_C1,2016-08-09 0:00:00,"C1","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",,,10.0,30.0,100.0,30.0,120.0,280.0,24.0,40.0,88.0,79.0,"1-3",25.0,,12:40:00
aug2016_C10,2016-08-09 0:00:00,"C10","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",9.0,19.0,20.0,180.0,300.0,60.0,90.0,180.0,,80.0,80.0,80.0,"1-3",27.0,"GPS not working great. Was able to to top of swash to mid - beach",22:39:00
aug2016_C11,2016-08-09 0:00:00,"C11","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",7.0,16.0,20.0,120.0,240.0,20.0,160.0,140.0,,100.0,80.0,77.0,"1-3",27.0,"mid-beach naming convention: c11-mid      etc.. With all other transects",22:11:00
aug2016_C2,2016-08-09 0:00:00,"C2","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",15.0,17.0,20.0,40.0,80.0,40.0,140.0,200.0,24.0,40.0,,,,,,12:32:00
aug2016_C3,2016-08-09 0:00:00,"C3","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",11.0,17.0,20.0,60.0,220.0,30.0,100.0,220.0,8.0,,,,,,,12:21:00
aug2016_C4,2016-08-09 0:00:00,"C4","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",10.0,15.0,50.0,120.0,300.0,30.0,120.0,140.0,8.0,,,,,,,12:10:00
aug2016_C5,2016-08-09 0:00:00,"C5","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",5.0,17.0,20.0,120.0,240.0,40.0,140.0,300.0,8.0,70.0,85.0,77.0,"1-3",27.0,,12:00:00
aug2016_C6,2016-08-09 0:00:00,"C6","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",8.0,14.0,20.0,100.0,180.0,30.0,120.0,260.0,,40.0,,,,,,23:43:00
aug2016_C7,2016-08-09 0:00:00,"C7","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",10.0,16.0,30.0,100.0,120.0,30.0,200.0,300.0,,20.0,,,,,,23:30:00
aug2016_C8,2016-08-09 0:00:00,"C8","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",12.0,17.0,20.0,140.0,280.0,20.0,180.0,300.0,,30.0,,,,,,23:17:00
aug2016_C9,2016-08-09 0:00:00,"C9","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",10.0,17.0,40.0,120.0,280.0,40.0,180.0,220.0,,60.0,,,,,"VRS worked - mifi taped on UTV",23:02:00
aug2016_T1,2016-08-09 0:00:00,"T1","Corbett  Walsh  Chase  Gibbons  Kelly","6:28:00","12:54:00",8.0,16.0,20.0,40.0,80.0,20.0,80.0,100.0,,50.0,86.0,79.0,"1-3",26.0,,13:13:00
